Keyphrase,Score_Charcot,Score_Autres,Score_Moyen,Renvoie_a,Dans_Reference,Sources_Charcot,Sources_Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hystéro - épilepsie,0.813,0.803,0.808,épilepsie,oui,CN_000033_005_texte.txt,CH_00000088_texte.txt, CH_00000095_texte.txt, CY_000099_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents héréditaires psychopathiques,0.793,0.822,0.808,criminels,non,CN_000052_024_texte.txt, CN_000060_002_texte.txt,CS_000004_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganglions trachéo - bronchiques,0.805,0.808,0.807,nanisme,non,CN_000069_011_texte.txt,CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point d' aggravation,0.809,0.806,0.807,épilepsie (procursive),oui,CN_000043_015_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
démence épileptique paralytique spasmodique,0.786,0.825,0.806,"épilepsie, symptomes tabéto-spasmodiques, maladie de Jules Voisin",oui,CN_000066_008_texte.txt, CN_000069_011_texte.txt,CH_00000091_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anormaux d' hôpital,0.799,0.814,0.806,,,CN_000081_001_texte.txt,CH_00000098_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégénérescence des collatérales,0.801,0.812,0.806,,,CN_000069_011_texte.txt,CO_000089_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hystérie épileptiforme,0.788,0.822,0.805,,,CL_000001_001_texte.txt, CL_000004_001_texte.txt, CN_000037_009_texte.txt, CN_000082_002_texte.txt,CY_000099_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anormaux d' asiles,0.796,0.814,0.805,,,CN_000081_001_texte.txt,CH_00000098_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
états d' obnubilation,0.788,0.82,0.804,,,CN_000034_006_texte.txt, CN_000036_008_texte.txt, CN_000055_027_texte.txt, CN_000056_028_texte.txt, CN_000063_005_texte.txt, CN_000075_017_texte.txt, CN_000076_018_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atteinte d' hydramnios,0.787,0.822,0.804,,,CN_000053_025_texte.txt,CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mort par convulsions,0.788,0.82,0.804,,,CN_000046_018_texte.txt, CN_000070_012_texte.txt,CY_000103_009_texte.txt, CY_000108_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phlébite avec infiltration,0.778,0.831,0.804,,,CN_000074_016_texte.txt,CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étals d' obnubilation,0.797,0.811,0.804,,,CN_000039_011_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affaiblissement des mouve- ments,0.812,0.794,0.803,,,CN_000037_009_texte.txt,CY_000099_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents héréditaires névropathiques,0.785,0.821,0.803,,,CL_000009_002_texte.txt, CN_000053_025_texte.txt,CS_000004_004_texte.txt, CS_000007_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hérédité névropathi-,0.828,0.778,0.803,,,CN_000074_016_texte.txt,CO_000093_011_texte.txt, CS_000016_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand-père paternel mort,0.8,0.805,0.802,,,CN_000066_008_texte.txt, CN_000076_018_texte.txt,CY_000101_007_texte.txt, CY_000104_010_texte.txt, CY_000107_013_texte.txt, CY_000114_020_texte.txt, CY_000115_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étiologie du vitiligo,0.807,0.796,0.802,,,CN_000071_013_texte.txt,CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcération arrondie,0.806,0.796,0.801,,,CN_000034_006_texte.txt,CY_000098_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas d' onychophagie,0.809,0.793,0.801,,,CN_000080_022_texte.txt,CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomène d' hérédité,0.776,0.826,0.801,,,CN_000057_029_texte.txt,CH_00000095_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signes d' ataxie locomotrice,0.79,0.81,0.8,,,CN_000063_005_texte.txt,CS_000001_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopsie de m.,0.784,0.816,0.8,,,CL_000005_001_texte.txt,CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégéné- rescence partielle,0.797,0.802,0.799,,,CN_000050_022_texte.txt,CO_000089_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conseils de m.,0.768,0.83,0.799,,,CN_000037_009_texte.txt, CO_000092_010_texte.txt,CY_000119_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infiltration des tégu- ments,0.788,0.81,0.799,,,CN_000056_028_texte.txt, CN_000076_018_texte.txt,CS_000024_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agitation avec hallucinations,0.78,0.818,0.799,,,CN_000062_004_texte.txt,CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptômes d' ataxie locomotrice,0.805,0.793,0.799,,,CN_000031_003_texte.txt, CN_000056_028_texte.txt,CH_00000084_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
période d' exacerbation,0.796,0.802,0.799,,,CN_000074_016_texte.txt,CY_000117_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asiles d' aliénés criminels,0.78,0.818,0.799,,,CN_000061_003_texte.txt, CN_000082_002_texte.txt,CH_00000098_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amphithéâtres d' anatomie,0.789,0.809,0.799,,,CN_000049_021_texte.txt,CS_000020_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigmates d' hystérie,0.793,0.805,0.799,,,CN_000049_021_texte.txt, CN_000053_025_texte.txt, CN_000054_026_texte.txt, CN_000060_002_texte.txt, CN_000062_004_texte.txt, CN_000065_007_texte.txt, CN_000066_008_texte.txt, CN_000071_013_texte.txt, CN_000072_014_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt, CH_00000080_texte.txt, CH_00000081_texte.txt, CH_00000088_texte.txt, CH_00000089_texte.txt, CH_00000090_texte.txt, CH_00000091_texte.txt, CH_00000092_texte.txt, CH_00000094_texte.txt, CO_000093_011_texte.txt, CS_000005_005_texte.txt, CS_000006_006_texte.txt, CS_000015_015_texte.txt, CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
méralgie paresthésique,0.77,0.829,0.799,,,CN_000059_001_texte.txt, CN_000066_008_texte.txt, CN_000067_009_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
démences paralytiques,0.789,0.807,0.798,,,CN_000031_003_texte.txt, CN_000047_019_texte.txt, CN_000049_021_texte.txt, CN_000080_022_texte.txt,CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospice des enfants - assistés,0.828,0.768,0.798,,,CL_000005_001_texte.txt,CS_000004_004_texte.txt, CS_000010_010_texte.txt, CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nom d' homogénéisation,0.793,0.804,0.798,,,CN_000072_014_texte.txt,CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand'mère paternels,0.803,0.793,0.798,,,CN_000043_015_texte.txt,CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
examen de m.,0.81,0.785,0.797,,,CN_000059_001_texte.txt, CN_000072_014_texte.txt,CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racines pos- térieures,0.785,0.809,0.797,,,CN_000064_006_texte.txt,CS_000011_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protoxyde d' azote,0.75,0.842,0.796,,,CN_000029_001_texte.txt, CN_000049_021_texte.txt,CH_00000091_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypertrophie hypophysaire causale,0.794,0.798,0.796,,,CN_000075_017_texte.txt,CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nom d' hystérie,0.79,0.803,0.796,,,CN_000031_003_texte.txt, CN_000033_005_texte.txt, CN_000037_009_texte.txt, CN_000039_011_texte.txt, CN_000053_025_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt, CH_00000082_texte.txt, CO_000093_011_texte.txt, CS_000004_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptômes d' asphyxie,0.81,0.781,0.796,,,CN_000043_015_texte.txt, CN_000073_015_texte.txt,CS_000020_020_texte.txt, CS_000027_027_texte.txt, CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fait d' hystérie,0.779,0.812,0.795,,,CL_000004_001_texte.txt, CN_000060_002_texte.txt,CH_00000093_texte.txt, CY_000105_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perversion d' instincts,0.782,0.808,0.795,,,CN_000063_005_texte.txt,CY_000113_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarcome à cellules fusiformes,0.784,0.807,0.795,,,CN_000040_012_texte.txt, CN_000061_003_texte.txt, CN_000069_011_texte.txt,CS_000020_020_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents pathologiques,0.786,0.804,0.795,,,CN_000078_020_texte.txt,CS_000027_027_texte.txt, CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signes d' hémiplégie,0.803,0.788,0.795,,,CN_000058_030_texte.txt,CS_000025_025_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' aphasie motrice,0.798,0.792,0.795,,,CN_000063_005_texte.txt,CS_000007_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolution occipitale,0.817,0.772,0.795,,,CN_000036_008_texte.txt,CO_000088_006_texte.txt, CS_000013_013_texte.txt, CS_000018_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents tuberculeux,0.784,0.804,0.794,,,CN_000037_009_texte.txt, CN_000074_016_texte.txt,CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopsie de paralytiques,0.78,0.808,0.794,,,CN_000042_014_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paroxysmes d' angoisse,0.787,0.801,0.794,,,CN_000048_020_texte.txt, CN_000075_017_texte.txt,CH_00000094_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incisives infé- rieures,0.795,0.794,0.794,,,CN_000063_005_texte.txt,CY_000106_012_texte.txt, CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
périodes d' aggravation,0.818,0.769,0.794,,,CN_000037_009_texte.txt,CS_000004_004_texte.txt, CS_000018_018_texte.txt, CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' ostéoporose,0.834,0.753,0.794,,,CN_000059_001_texte.txt,CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnostic d' ataxie locomotrice,0.801,0.785,0.793,,,CN_000064_006_texte.txt, CN_000070_012_texte.txt,CH_00000082_texte.txt, CS_000001_001_texte.txt, CS_000004_004_texte.txt, CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phases d' exacerbation,0.81,0.776,0.793,,,CN_000037_009_texte.txt,CS_000008_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
centimètre en arrière,0.799,0.787,0.793,,,CN_000043_015_texte.txt,CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complication d' hystérie,0.783,0.804,0.793,,,CL_000009_002_texte.txt, CN_000061_003_texte.txt,CH_00000091_texte.txt, CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospice d' aliénés,0.786,0.8,0.793,,,CN_000041_013_texte.txt, CN_000044_016_texte.txt, CN_000050_022_texte.txt, CN_000052_024_texte.txt, CN_000057_029_texte.txt, CN_000081_001_texte.txt,CS_000018_018_texte.txt, CS_000024_024_texte.txt, CY_000119_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand-père maternel paralytique,0.772,0.814,0.793,,,CN_000044_016_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hémi- plégie,0.8,0.785,0.793,,,CN_000045_017_texte.txt, CN_000059_001_texte.txt,CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes d' hystérie,0.803,0.782,0.793,,,CL_000001_003_texte.txt, CL_000005_002_texte.txt, CL_000009_002_texte.txt, CN_000042_014_texte.txt, CN_000050_022_texte.txt, CN_000051_023_texte.txt, CN_000079_021_texte.txt,CH_00000092_texte.txt, CS_000009_009_texte.txt, CS_000021_021_texte.txt, CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
évolution par poussées,0.795,0.79,0.792,,,CN_000051_023_texte.txt,CS_000020_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dépendance d' hallucinations,0.788,0.796,0.792,,,CN_000033_005_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crédulité des opérés,0.782,0.803,0.792,,,CN_000076_018_texte.txt,CH_00000095_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
