Phrase-clé,score
('de testicule ectopié', 0.474)
('epilepsie bromure de', 0.4737)
('fétichisme est inconvertissable', 0.4736)
('sexuels de enfance', 0.4736)
('ganglion labial lequel', 0.4735)
('une zone anesthésie', 0.4734)
('altérations des cellules', 0.4728)
('persistantes des neurones', 0.4725)
('les petites cellules', 0.4723)
('fontanelle centimètres', 0.4723)
('épileptique bromure', 0.4717)
('surnaturel le fétichisme', 0.4716)
('syndrome organique de', 0.471)
('côté bosses frontales', 0.4707)
('en sommeil hypnotique', 0.4705)
('zone anesthésie', 0.4702)
('du pouce gauche', 0.4699)
('epilepsie bromure', 0.4699)
('physiologique des excitations', 0.4698)
('syndrome organique', 0.4691)
('crâne microcéphales', 0.4688)
('embrassé le catholicisme', 0.4682)
('corporéité eglise catholique', 0.4681)
('une zone anesthésique', 0.468)
('main peut reposer', 0.4678)
('expressions confiance aveugle', 0.4676)
('la fontanelle centimètres', 0.4675)
('pédoncule cérébral centre', 0.4666)
('ijçlise catholique pour', 0.4663)
('sommeil hypnotique ai', 0.4662)
('muscle que anatomie', 0.4656)
('le catholique invoquant', 0.4652)
('musculaire son mécanisme', 0.4651)
('confiance aveugle confiance', 0.4648)
('sont plus petits', 0.4643)
('destruction du tissu', 0.4632)
('neurale des ganglions', 0.4625)
('cérébral centre ovale', 0.4619)
('paralyse neurolo', 0.4616)
('la bosse frontale', 0.461)
('sous thalamiques anatomie', 0.4608)
('anormal examen', 0.4592)
('elle lit lentement', 0.4587)
('aveugle confiance absolue', 0.4585)
('les hémiplégies cérébrales', 0.4578)
('épilepsie bromure de', 0.4574)
('pouce gauche est', 0.4573)
('du cerveau microcéphales', 0.4569)
('vaisseaux de petit', 0.4563)
('1908 la flexion', 0.4563)
('dr albert robin', 0.4557)
('budgets départementaux 177', 0.4555)
('leur petite taille', 0.4554)
('muscles du corps', 0.455)
('bosse frontale est', 0.4542)
('cérébrale antérieure coupe', 0.453)
('docteur berillon proclamer', 0.453)
('bosses frontales latérales', 0.4525)
('cerveau microcéphales', 0.4521)
('du muscle psoas', 0.452)
('confiance aveugle', 0.451)
('cérébral coupe vertico', 0.4502)
('doigts est altérée', 0.4502)
('foetus dysostosiques on', 0.4499)
('chez les foetus', 0.4495)
('pédoncule cérébral coupe', 0.4493)
('différentes la cachexie', 0.4491)
('voûte du crâne', 0.4489)
('spinal les muscles', 0.4485)
('le tissu médullaire', 0.4485)
('mouvements des doigts', 0.4464)
('écorce cérébrale sur', 0.4457)
('du tissu médullaire', 0.4457)
('examen clinique ordinaire', 0.4454)
('publique 187 budget', 0.4453)
('taille la fontanelle', 0.4447)
('musculaires périphériques 7t', 0.4446)
('les muscles périscapulaires', 0.4441)
('jambes fléchies développement', 0.4439)
('souvent opinion elles', 0.4438)
('roulin le dr', 0.4438)
('pouce est aboli', 0.4436)
('tissu médullaire névroglique', 0.4434)
('elle crie aussitôt', 0.4431)
('publique 183 budget', 0.4429)
('rougeole 1880 janvier', 0.4428)
('chez des foetus', 0.4426)
('médecine albert robin', 0.4424)
('cylindres axes cellule', 0.4423)
('ensemble des excitations', 0.4422)
('les muscles os', 0.4421)
('urologues donné naissance', 0.4419)
('opinion elles attirent', 0.4418)
('de foetus dysostosiques', 0.4414)
('pulmonaire 27 mars', 0.4414)
('neuroplasma des tissusavoisi', 0.4411)
('normale examen', 0.4407)
('médullaire la tumeur', 0.4404)
('175 gr poumon', 0.4402)
('sexualité des nains', 0.4395)
('le processus infundibuliforme', 0.4382)
('xxviii coupe horizontale', 0.4381)
('occipital sa face', 0.4374)
('gauche insensibilité est', 0.4373)
('occipital est', 0.4372)
('sept ans il', 0.4372)
('maladie primitivementgéné rale', 0.4368)
('chez une syphilitique', 0.4366)
('gauche insensibilité', 0.4356)
('gauche la sensibilité', 0.4354)
('occipital se présente', 0.4352)
('xxvi coupe horizontale', 0.4351)
('défaut association motrice', 0.4347)
('fontanelle centimètres et', 0.4347)
('du lit aneslliésic', 0.4343)
('de dépressions latérales', 0.4342)
('médecins urologues donné', 0.4341)
('publique 185 budget', 0.4334)
('xxiv coupe horizontale', 0.4331)
('cône médullaire syndrome', 0.433)
('fumait beaucoup doux', 0.433)
('volumineuses cellules multipolai', 0.4324)
('occipitale postérieure', 0.4323)
('transverse du nez', 0.4321)
('malades diffèrent de', 0.4308)
('droite insensibilité au', 0.4308)
('occipital esta', 0.4304)
('dépressions latérales', 0.4303)
('livre du dr', 0.4302)
('perte appétit digestion', 0.4298)
('docteur albert', 0.4289)
('jambe blessés il', 0.4286)
('repos les jambes', 0.4286)
('fume peu père', 0.4286)
('considérations sont neuves', 0.4284)
('aveugle confiance', 0.4284)
('critique elles inspirent', 0.4283)
('occipital est surtout', 0.4276)
('malades diffèrent', 0.427)
('subvention départementale budget', 0.4268)
('droite insensibilité', 0.4267)
('ivresse lui confessé', 0.4262)
('le estomac continué', 0.4262)
('polaillon article', 0.4258)
('inférieurs 14 ans', 0.425)
('appétit digestion', 0.4245)
('association motrice acte', 0.4241)
('14 ans ses', 0.424)
('examen du magnétisme', 0.4237)
('opinions récemment émises', 0.4234)
('la tumeur supposée', 0.4233)
('bres inférieurs 14', 0.4232)
('est une tumeur', 0.4227)
('les muscles articulation', 0.4221)
('des médecins urologues', 0.4221)
('triple de volume', 0.4217)
('repas estomac est', 0.4212)
('hypothèse une tumeur', 0.4211)
('des consultations urologues', 0.4211)
('les fibres cn', 0.4209)
('de tumeurs enkystées', 0.4199)
('les muscles rhomboïdes', 0.4197)
('malade sa jambe', 0.4196)
('véritable tumeur que', 0.4193)
('les ossifications musculaires', 0.4187)
('ce livre paru', 0.4182)
('trophiques cutanés peau', 0.4181)
('hypnotique un alcoolique', 0.4175)
('symptôme isolé de', 0.4157)
('ouvrages du dr', 0.4152)
('arthropathies de épaule', 0.415)
('consultations urologues', 0.415)
('contractures hystériques du', 0.4148)
('du symptôme sommeil', 0.4148)
('complexité du syndrome', 0.4147)
('symptôme isolé', 0.4145)
('trois veines volumineuses', 0.4145)
('symptomatique de sclérose', 0.4143)
('nature des excitations', 0.4142)
('les muscles envahis', 0.414)
('aphasie le syndrome', 0.4138)
('sa jambe blessés', 0.4132)
('jour ses jambes', 0.4132)
('réglée sept ans', 0.413)
('paternelle très nerveuse', 0.4125)
('ses repas estomac', 0.4124)
('les volumineuses cellules', 0.4124)
('partie ventrale du', 0.4119)
('tumeurs enkystées', 0.4102)
('la partie ventrale', 0.4098)
('neurologique 1906 bteganskt', 0.4094)
('des tumeurs pareilles', 0.4093)
('neurologique 1906', 0.4087)
('président mon admiration', 0.4085)
('le fétichisme est', 0.4085)
('médullaire syndrome', 0.4081)
('sept ans pendant', 0.4079)
('16 ans elle', 0.4077)
('volumineuses cellules', 0.4069)
('hypertrophique marinesco bernhardt', 0.4067)
('complexité éléments mais', 0.4064)
('tissus la peau', 0.4053)
('excitations purement physiques', 0.4045)
('lésions des noyaux', 0.404)
('symptôme sommeil', 0.404)
('magnétisme vient opérer', 0.4028)
('catatoniques planche 465', 0.4024)
('ans sept ans', 0.4006)
('ans ses règles', 0.3993)
('appuyant aux lits', 0.3992)
('partie ventrale de', 0.3991)
('artère vertebrale gauche', 0.3983)
('reo neurol 1906', 0.3979)
('repos au lit', 0.3977)
('revue neurologique 1906', 0.3974)
('le magnétisme grandit', 0.3968)
('psvchologique de alcoolisme', 0.3965)
('magnétisme grandit en', 0.3965)
('bibliographique publiée par', 0.3964)
('sept ans une', 0.3962)
('fumait beaucoup en', 0.396)
('épaule droite ostéophyte', 0.3959)
('rougeole 18 janvier', 0.3956)
('externe du ganglion', 0.3951)
('la thyroïdectomie totale', 0.3948)
('expérimentation chez animal', 0.3944)
('extension du magnétisme', 0.3934)
('fétichisme est', 0.393)
('phénomènes du syndrome', 0.3929)
('la propriété magnétique', 0.3928)
('syringomyélie histologie thomas', 0.3925)
('rhumatisme déformant détermine', 0.3925)
('blonds normalement implantés', 0.3918)
('thyroïdectomie totale relaté', 0.3916)
('quinze francs amende', 0.3914)
('ce livre aurait', 0.3912)
('résument la symptomatologie', 0.3903)
('hystérique contracture', 0.3898)
('pavillon une galerie', 0.3885)
('thyroïdectomie totale', 0.3884)
('autopsie un cervelet', 0.3883)
('paralysie faciale paralysie', 0.388)
('troubles trophiques peuvent', 0.3874)
('emploie dans excision', 0.3868)
('diagnostic le rachis', 0.3866)
('thyroïdectomies totales pietrzi', 0.3864)
('ses malades diffèrent', 0.3861)
('de thyroïdectomie totale', 0.3859)
('différent des malades', 0.3853)
('perroquet savant un', 0.3852)
('les articles parus', 0.385)
('blonds bien implantés', 0.3841)
('propriété magnétique', 0.3839)
('15 francs amende', 0.3838)
('latérales arcades', 0.3837)
('contractures hystériques', 0.3835)
('la maladie primitive', 0.3828)
('hypnotique lui même', 0.3825)
('13 janvier rougeole', 0.3818)
('les contractures hystériques', 0.3817)
('paralysie faciale est', 0.3816)
('ivresse il était', 0.3813)
('ce recueil cerveau', 0.381)
('une propriété magnétique', 0.381)
('toast empereur au', 0.381)
('article atrophie', 0.381)
('toast empereur', 0.3791)
('nerveuses cellules pyramidales', 0.379)
('paralysie faciale du', 0.3786)
('cellules nerveuses rétractées', 0.3785)
('cérébrale paris 1902', 0.3784)
('syringomyélie histologie', 0.3784)
('lents car elle', 0.378)
('association des mouvements', 0.3777)
('cylindre axe histogenèse', 0.3776)
('réflexion concernant hypertrophie', 0.3772)
('recueil cerveau', 0.3769)
('les troubles trophiques', 0.3766)
('malade la peau', 0.3766)
('rougeole quatre mois', 0.3762)
('la paralysie faciale', 0.3758)
('cérébrale paris 1903', 0.3757)
('cérébrale paris 1896', 0.3755)
('instinct de homme', 0.3745)
('des vaisseaux lymphatiques', 0.3745)
('paralysie faciale périphérique', 0.3742)
('développement des bras', 0.374)
('catatoniques planche', 0.3734)
('droite les arcades', 0.3734)
('articles parus sur', 0.373)
('vaisseaux lymphatiques', 0.373)
('propriété magnétique fort', 0.3723)
('spinal où encéphalomyélite', 0.3717)
('articles parus', 0.3713)
('et menus lymphocytes', 0.3712)
('du nez muscle', 0.3708)
('jambes il jamais', 0.3701)
('canal épendymaire quoique', 0.37)
('quatre ans il', 0.3698)
('la pathologie cérébelleuse', 0.3695)
('trijumeau pas dégénéré', 0.3695)
('perroquet savant', 0.3693)
('condamne 15 francs', 0.3691)
('1880 la rougeole', 0.3691)
('du nez associe', 0.3688)
('lit aneslliésic et', 0.3686)
('elle ne prie', 0.3686)
('un toast empereur', 0.3685)
('inventaire vous procéderez', 0.3684)
('arthropathies tabétiques', 0.3683)
('nerveuses le cylindre', 0.3682)
('courte prière du', 0.3679)
('arthropathies tabétiques ne', 0.3672)
('magnétique le propriétaire', 0.3661)
('paternel était bègue', 0.3659)
('condamue quinze francs', 0.3656)
('galerie fermée au', 0.3651)
('autopsie sclérose', 0.365)
('pédoncule cérébral gauche', 0.365)
('galerie intérieure mettant', 0.3648)
('dressiez inventaire vous', 0.3644)
('galerie extérieure ouverte', 0.3618)
('défaut association', 0.3617)
('cérébelleuse revue neurologique', 0.3617)
('spirituel sur humain', 0.3614)
('le fétichisme', 0.3613)
('externe du cinquième', 0.361)
('sentiments de homme', 0.3609)
('déments catatoniques planche', 0.3609)
('syslème nerveux duplay', 0.3607)
('durée de irradia', 0.3606)
('radioactive exprimée en', 0.3603)
('genoux quand enfant', 0.3603)
('vaisseaux lymphatiques hertoghe', 0.3597)
('le canal épendymaire', 0.3596)
('arthropathie tabétique des', 0.3595)
('syndrome cérébelleux est', 0.3589)
('autrichiens racontent que', 0.3578)
('pathologie cérébelleuse', 0.3574)
('au jardin potager', 0.3573)
('canal épendymaire', 0.357)
('jardins ce sous', 0.357)
('colonne dorsale arthropathie', 0.3568)
('mémorable du bernheim', 0.3563)
('lymphocytes menus et', 0.356)
('association motrice', 0.3559)
('mort phthisique', 0.355)
('radioactive exprimée', 0.3548)
('galerie exté rieure', 0.3548)
('diverticulaires du canal', 0.3545)
('globes oculaires ne', 0.3543)
('pigeon lobe gauche', 0.354)
('du nez développée', 0.3536)
('le toast imion', 0.3533)
('peripheren nervensystems bei', 0.3532)
('gauche analgésie', 0.3531)
('grandes lèvres pigmentées', 0.353)
('flexion des jambes', 0.3527)
('peripheren nervensystems', 0.3522)
('le genou gauche', 0.3522)
('jardins de notre', 0.3519)
('ce toast', 0.3518)
('substance radioactive exprimée', 0.3516)
('cicatriser les surfaces', 0.3513)
('nez est combinée', 0.3513)
('humain le sentiment', 0.3506)
('applications de radium', 0.3496)
('5o2 il ystér11', 0.3494)
('des peripheren nervensystems', 0.3493)
('osseux visage ovale', 0.3491)
('autrichiens racontent', 0.3482)
('quatre ans pas', 0.3476)
('bicétre le mobilier', 0.3475)
('pénétrer dans épaisseur', 0.3463)
('une conférence clinique', 0.3462)
('février le malade', 0.3451)
('menus des leucocytes', 0.344)
('amputation du cinquième', 0.3436)
('et gros lymphocytes', 0.3433)
('et des leucocytes', 0.3431)
('anesthésie la température', 0.3423)
('de chambre isolement', 0.3423)
('étages qui seul', 0.3423)
('esprit incréé hommes', 0.342)
('système nerveux périphérique', 0.3418)
('seul aux cabinets', 0.3413)
('chez nos enfants', 0.3412)
('science mesmé ricnne', 0.3408)
('cervicales quatre ans', 0.3408)
('fièvre le troisième', 0.3403)
('un chinois hôpital', 0.34)
('salle chambres isolement', 0.3399)
('les animaux savants', 0.3392)
('science de rovère', 0.339)
('symptômes ultérieurs élévation', 0.3386)
('épiphyse cartilagineuse quatrième', 0.3382)
('la science divine', 0.3375)
('la congestion pulmonaire', 0.3373)
('racine du trijumeau', 0.3373)
('mon cher président', 0.3372)
('trois bâillements secondaires', 0.3364)
('ménageries le jardin', 0.3362)
('vertige épileptiforme nous', 0.3361)
('gauche trous volumineux', 0.3351)
('la séance solennelle', 0.3342)
('enfant est hypertrophie', 0.3339)
('ig5 phénomène des', 0.3335)
('hospice le février', 0.3331)
('cavités accidentelles opérer', 0.3329)
('hôpitaux étude thermo', 0.3325)
('février ce malade', 0.332)
('thoracentèse voy température', 0.3316)
('trois couches intactes', 0.3316)
('progressive paralysis', 0.3315)
('epilepsies elles epileptiques', 0.3311)
('hypertrophiés emblée enfant', 0.33)
('chambres isolement', 0.3297)
('malades il rené', 0.3291)
('paupières phénomène purement', 0.3287)
('accidentelles opérer', 0.3272)
('les phénomènes pithiatiques', 0.3248)
('200 francs amende', 0.3245)
('amyotrophie réflexe origine', 0.3241)
('chinois hôpital', 0.3236)
('séance solennelle', 0.3227)
('phénomènes des phénomènes', 0.3223)
('hypertrophie chez alice', 0.322)
('chirurgien normand', 0.3213)
('46 lift', 0.3209)
('arciformes ont dégénéré', 0.32)
('cliniquement indépendante de', 0.32)
('cartilagineuse quatrième', 0.3194)
('nomhre enfants aveugles', 0.3182)
('conférences cliniques sur', 0.3177)
('dans image radiographique', 0.3176)
('du trijumeau pas', 0.3167)
('enfants anormaux aveugles', 0.3156)
('parent elle avait', 0.3128)
('mère les yeux', 0.3126)
('chinois hôpital français', 0.3115)
('maternelle hémiplégique soeur', 0.3113)
('gnon aide major', 0.3011)
('inventaire vous', 0.2995)
('parloir le meuble', 0.2943)
('radiographique montré aucune', 0.2797)
('chinois est', 0.2788)
('image radiographique', 0.2766)
('image radiographique de', 0.2712)
('radiographique montré', 0.2665)
